GB-GOR	UK Government organisation name	Website	Status	CO2 emissions (g)	Website carbon link	Date last checked
PB1269	Birmingham Organising Committee for the 2022 Commonwealth Games Ltd	https://www.birmingham2022.com/		1.00		2022-06-23
PB508	Board of Trustees of the Royal Botanic Gardens Kew	http://www.kew.org/about/our-work/people-and-departments/board-trustees%20		0.51		2022-06-23
OT564	Bona Vacantia	https://gov.uk/government/organisations/bona-vacantia		0.30		2022-06-23
OT535	Border Force	https://gov.uk/government/organisations/border-force		0.28		2022-06-23
PB337	Boundary Commission for England	https://boundarycommissionforengland.independent.gov.uk/		1.48		2022-06-23
OT428	Boundary Commission for Northern Ireland	https://www.boundarycommission.org.uk/		0.24		2022-06-23
OT431	Boundary Commission for Scotland	https://www.bcomm-scotland.independent.gov.uk/		0.72		2022-06-23
OT432	Boundary Commission for Wales	http://bcomm-wales.gov.uk/		3.69		2022-06-23
OT1148	British Business Bank	http://british-business-bank.co.uk/		2.89		2022-06-23
OT1051	British Cattle Movement Service	https://gov.uk/government/organisations/british-cattle-movement-service		0.15		2022-06-23
OT313	British Council	http://www.britishcouncil.org		0.56		2022-06-23
PB189	British Film Institute	http://www.bfi.org.uk		3.14		2022-06-23
PB124	British Hallmarking Council	https://gov.uk/government/organisations/british-hallmarking-council		0.30		2022-06-23
PB166	British Library	http://www.bl.uk/		0.96		2022-06-23
PB167	British Museum	http://www.britishmuseum.org		1.62		2022-06-23
PB524	British Pharmacopoeia Commission	https://www.pharmacopoeia.com/		1.30		2022-06-23
PB461	British Transport Police Authority	http://btpa.police.uk/		1.10		2022-06-23
OT216	Broads Authority	https://www.broads-authority.gov.uk/		0.65		2022-06-23
PB160	Building Regulations Advisory Committee	https://gov.uk/government/organisations/building-regulations-advisory-committee		0.11		2022-06-23
D2	Cabinet Office	https://gov.uk/government/organisations/cabinet-office		2.14		2022-06-23
OT1201	Cabinet Office Board	https://gov.uk/government/organisations/cabinet-office-board		0.63		2022-06-23
PB246	Cafcass	http://www.cafcass.gov.uk/		0.68		2022-06-23
PB251	Care Quality Commission	http://www.cqc.org.uk/		0.76		2022-06-23
OT1102	Careers Wales	http://www.careerswales.com/		1.56		2022-06-23
PB1194	Central Advisory Committee on Compensation	https://gov.uk/government/organisations/central-advisory-committee-on-compensation		0.11		2022-06-23
PB148	Central Arbitration Committee	https://gov.uk/government/organisations/central-arbitration-committee		0.33		2022-06-23
OT1329	Central Digital and Data Office	https://gov.uk/government/organisations/central-digital-and-data-office		0.60		2022-06-23
OT1223	Centre for Connected and Autonomous Vehicles 	https://gov.uk/government/organisations/centre-for-connected-and-autonomous-vehicles		0.54		2022-06-23
OT1280	Centre for Data Ethics and Innovation	https://gov.uk/government/organisations/centre-for-data-ethics-and-innovation		0.31		2022-06-23
EA53	Centre for Environment, Fisheries and Aquaculture Science	https://gov.uk/government/organisations/centre-for-environment-fisheries-and-aquaculture-science		1.53		2022-06-23
OT567	Centre for the Protection of National Infrastructure	http://www.cpni.gov.uk/		3.87		2022-06-23
PB139	Certification Officer	https://gov.uk/government/organisations/certification-officer		0.13		2022-06-23
PC386	Channel 4	https://www.channel4.com/		1.01		2022-06-23
OT492	Chevening Scholarship Programme 	http://www.chevening.org/		3.52		2022-06-23
OT504	Chief Fire and Rescue Adviser	https://gov.uk/government/organisations/chief-fire-and-rescue-adviser-unit		0.11		2022-06-23
OT1277	Child Safeguarding Practice Review Panel	https://gov.uk/government/organisations/child-safeguarding-practice-review-panel		0.13		2022-06-23
OT1290	Churches Conservation Trust	https://www.visitchurches.org.uk/		2.71		2022-06-23
PC469	Civil Aviation Authority	https://www.caa.co.uk/		0.60		2022-06-23
PB293	Civil Justice Council	http://www.judiciary.gov.uk/about-the-judiciary/advisory-bodies/cjc		0.31		2022-06-23
OT1063	Civil Nuclear Constabulary	https://gov.uk/government/organisations/civil-nuclear-constabulary		0.74		2022-06-23
PB194	Civil Nuclear Police Authority	https://gov.uk/government/organisations/civil-nuclear-police-authority		0.71		2022-06-23
PB440	Civil Procedure Rule Committee	https://gov.uk/government/organisations/civil-procedure-rules-committee		0.11		2022-06-23
OT1200	Civil Service Board	https://gov.uk/government/organisations/civil-service-board		0.57		2022-06-23
PB366	Civil Service Commission	http://civilservicecommission.independent.gov.uk/		0.43		2022-06-23
OT1121	Civil Service Fast Stream	https://gov.uk/government/organisations/civil-service-fast-stream		0.50		2022-06-23
OT1281	Civil Service Group	https://gov.uk/government/organisations/civil-service-group		0.11		2022-06-23
OT1304	Civil Service HR	https://gov.uk/government/organisations/civil-service-hr		0.59		2022-06-23
PB195	Coal Authority	https://gov.uk/government/organisations/the-coal-authority		0.83		2022-06-23
OT1235	College of Policing	http://www.college.police.uk/		0.44		2022-06-23
OT1249	Commission for Countering Extremism	https://gov.uk/government/organisations/commission-for-countering-extremism		0.25		2022-06-23
PB525	Commission on Human Medicines	https://gov.uk/government/organisations/commission-on-human-medicines		0.11		2022-06-23
OT517	Commissioner for Public Appointments	http://publicappointmentscommissioner.independent.gov.uk/		0.34		2022-06-23
OT1264	Commissioner for Shale Gas	https://gov.uk/government/organisations/shale-commissioner		0.11		2022-06-23
PB196	Committee on Climate Change	http://www.theccc.org.uk/		1.10		2022-06-23
PB1172	Committee on Fuel Poverty	https://gov.uk/government/organisations/committee-on-fuel-poverty		0.13		2022-06-23
PB526	Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment	https://gov.uk/government/organisations/committee-on-mutagenicity-of-chemicals-in-food-consumer-products-and-the-environment		0.11		2022-06-23
PB191	Committee on Radioactive Waste Management	https://gov.uk/government/organisations/committee-on-radioactive-waste-management		0.35		2022-06-23
PB158	Committee on Standards in Public Life	https://gov.uk/government/organisations/the-committee-on-standards-in-public-life		0.36		2022-06-23
PB576	Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment	http://www.food.gov.uk/cot		0.26		2022-06-23
PB226	Commonwealth Scholarship Commission in the UK	https://gov.uk/government/organisations/commonwealth-scholarship-commission-in-the-uk		0.22		2022-06-23
EA26	Companies House 	https://gov.uk/government/organisations/companies-house		0.71		2022-06-23
PB1062	Company Names Tribunal	https://gov.uk/government/organisations/company-names-tribunal		0.43		2022-06-23
PB140	Competition Appeal Tribunal	http://www.catribunal.org.uk/		0.13		2022-06-23
PB318	Competition Service	https://www.catribunal.org.uk/about/competition-service		0.13		2022-06-23
D550	Competition and Markets Authority	https://gov.uk/government/organisations/competition-and-markets-authority		1.29		2022-06-23
OT1282	Conflict, Stability and Security Fund	https://gov.uk/government/organisations/conflict-stability-and-security-fund		0.49		2022-06-23
PB126	Construction Industry Training Board	http://www.citb.co.uk		0.35		2022-06-23
PB198	Consumer Council for Water	http://www.ccwater.org.uk/		1.21		2022-06-23
PB355	Copyright Tribunal	https://gov.uk/government/organisations/copyright-tribunal		0.38		2022-06-23
PB121	Council for Science and Technology	https://gov.uk/government/organisations/council-for-science-and-technology		0.22		2022-06-23
OT214	Covent Garden Market Authority	https://www.newcoventgardenmarket.com/		1.80		2022-06-23
IM320	Criminal Cases Review Commission	http://www.ccrc.gov.uk/		1.73		2022-06-23
PB297	Criminal Injuries Compensation Authority	https://gov.uk/government/organisations/criminal-injuries-compensation-authority		0.25		2022-06-23
PB516	Criminal Procedure Rule Committee	https://gov.uk/government/organisations/criminal-procedure-rule-committee		0.11		2022-06-23
PC1291	Crossrail International	https://www.crossrail-international.co.uk		5.97		2022-06-23
EA1015	Crown Commercial Service	https://gov.uk/government/organisations/crown-commercial-service		0.47		2022-06-23
D101	Crown Prosecution Service	http://www.cps.gov.uk/		1.53		2022-06-23
OT217	Dartmoor National Park Authority	https://www.dartmoor.gov.uk/		6.65		2022-06-23
OT405	Defence Academy of the United Kingdom	http://www.da.mod.uk		1.53		2022-06-23
EA1113	Defence Electronics and Components Agency	https://gov.uk/government/organisations/defence-electronics-and-components-agency		0.68		2022-06-23
OT495	Defence Equipment and Support	https://gov.uk/government/organisations/defence-equipment-and-support		0.40		2022-06-23
OT496	Defence Infrastructure Organisation	https://gov.uk/government/organisations/defence-infrastructure-organisation		0.70		2022-06-23
OT1250	Defence Nuclear Organisation	https://gov.uk/government/organisations/defence-nuclear-organisation		0.72		2022-06-23
PB396	Defence Nuclear Safety Committee	https://gov.uk/government/organisations/defence-nuclear-safety-committee		0.11		2022-06-23
OT1191	Defence Safety Authority	https://gov.uk/government/organisations/defence-safety-authority		0.11		2022-06-23
EA42	Defence Science and Technology Laboratory	https://gov.uk/government/organisations/defence-science-and-technology-laboratory		1.15		2022-06-23
OT411	Defence Sixth Form College	http://www.dsfc.ac.uk		0.42		2022-06-23
OT1206	Defence and Security Accelerator	https://gov.uk/government/organisations/defence-and-security-accelerator		0.88		2022-06-23
OT1153	Defence and Security Media Advisory Committee	http://www.dsma.uk/		0.17		2022-06-23
D1198	Department for Business, Energy &amp; Industrial Strategy	https://gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy		1.55		2022-06-23
OT1173	Department for Communities (Northern Ireland)	https://www.communities-ni.gov.uk/		0.20		2022-06-23
D5	Department for Digital, Culture, Media &amp; Sport	https://gov.uk/government/organisations/department-for-digital-culture-media-sport		1.36		2022-06-23
D6	Department for Education	https://gov.uk/government/organisations/department-for-education		1.49		2022-06-23
D7	Department for Environment Food &amp; Rural Affairs	https://gov.uk/government/organisations/department-for-environment-food-rural-affairs		1.34		2022-06-23
OT1176	Department for Infrastructure (Northern Ireland)	https://www.infrastructure-ni.gov.uk/		0.15		2022-06-23
D1196	Department for International Trade	https://gov.uk/government/organisations/department-for-international-trade		1.57		2022-06-23
D1342	Department for Levelling Up, Housing and Communities	https://gov.uk/government/organisations/department-for-levelling-up-housing-and-communities		2.41		2022-06-23
D9	Department for Transport	https://gov.uk/government/organisations/department-for-transport		1.39		2022-06-23
D10	Department for Work &amp; Pensions	https://gov.uk/government/organisations/department-for-work-pensions		1.77		2022-06-23
OT1174	Department for the Economy (Northern Ireland)	https://www.economy-ni.gov.uk/		0.18		2022-06-23
OT1178	Department of Agriculture, Environment and Rural Affairs (Northern Ireland)	https://www.daera-ni.gov.uk/		0.19		2022-06-23
D585	Department of Education (Northern Ireland)	https://www.education-ni.gov.uk/		0.14		2022-06-23
OT1177	Department of Finance (Northern Ireland)	https://www.finance-ni.gov.uk/		0.14		2022-06-23
D12	Department of Health &amp; Social Care	https://gov.uk/government/organisations/department-of-health-and-social-care		1.24		2022-06-23
OT1175	Department of Health (Northern Ireland)	https://www.health-ni.gov.uk/		0.15		2022-06-23
D1073	Department of Justice (Northern Ireland)	https://www.justice-ni.gov.uk/		0.14		2022-06-23
OT1259	DfT OLR Holdings Limited	https://gov.uk/government/organisations/dft-olr-holdings-limited		0.44		2022-06-23
OT1182	Digital, Data and Technology Profession	https://gov.uk/government/organisations/digital-data-and-technology-profession		0.25		2022-06-23
PB459	Directly Operated Railways Limited	http://webarchive.nationalarchives.gov.uk/20151215172524/http://www.directlyoperatedrailways.co.uk/html/index.php		0.46		2022-06-23
OT1309	Disability Unit	https://gov.uk/government/organisations/disability-unit		0.49		2022-06-23
PB1152	Disabled People’s Employment Corporation (GB) Ltd	https://gov.uk/government/organisations/disabled-peoples-employment-corporation		0.11		2022-06-23
PB247	Disabled Persons Transport Advisory Committee	https://gov.uk/government/organisations/disabled-persons-transport-advisory-committee		0.19		2022-06-23
PB509	Disclosure and Barring Service	https://gov.uk/government/organisations/disclosure-and-barring-service		1.24		2022-06-23
OT1080	District Valuer Services (DVS)	https://gov.uk/government/organisations/district-valuer-services-dvs		0.11		2022-06-23
OT1238	Dounreay 	https://gov.uk/government/organisations/dounreay		0.74		2022-06-23
OT425	Drinking Water Inspectorate	http://www.dwi.gov.uk		0.34		2022-06-23
EA74	Driver and Vehicle Licensing Agency	https://gov.uk/government/organisations/driver-and-vehicle-licensing-agency		0.50		2022-06-23
EA570	Driver and Vehicle Standards Agency	https://gov.uk/government/organisations/driver-and-vehicle-standards-agency		2.08		2022-06-23
OT1233	East West Railway Company Limited	https://eastwestrail.co.uk/		8.13		2022-06-23
PB1154	Ebbsfleet Development Corporation	http://ebbsfleetdc.org.uk/		4.46		2022-06-23
PB129	Economic and Social Research Council	http://www.esrc.ac.uk/		0.46		2022-06-23
EO1216	Education and Skills Funding Agency	https://gov.uk/government/organisations/education-and-skills-funding-agency		0.52		2022-06-23
OT1267	Employment Agency Standards Inspectorate	https://gov.uk/government/organisations/employment-agency-standards-inspectorate		0.38		2022-06-23
PB131	Engineering Construction Industry Training Board	http://www.ecitb.org.uk/		1.44		2022-06-23
PB130	Engineering and Physical Sciences Research Council	http://www.epsrc.ac.uk/		0.43		2022-06-23
OT957	English Institute of Sport	http://www.eis2win.co.uk/		1.08		2022-06-23
EA199	Environment Agency	https://gov.uk/government/organisations/environment-agency		0.82		2022-06-23
OT1324	Equality Hub	https://gov.uk/government/organisations/the-equality-hub		0.95		2022-06-23
OT269	Equality and Human Rights Commission	http://www.equalityhumanrights.com/		1.65		2022-06-23
DA1105	Estyn	http://www.estyn.gov.uk/		5.92		2022-06-23
OT1348	Evaluation Task Force	https://www.gov.uk/government/organisations/evaluation-task-force		0.54		2022-06-23
OT219	Exmoor National Park Authority	https://www.exmoor-nationalpark.gov.uk/		2.98		2022-06-23
OT557	Export Control Joint Unit	https://gov.uk/government/organisations/export-control-organisation		0.23		2022-06-23
PB357	Export Guarantees Advisory Council	https://gov.uk/government/organisations/export-guarantees-advisory-council		0.17		2022-06-23
OT1316	FCDO Services 	https://www.fcdoservices.gov.uk		0.93		2022-06-23
PB441	Family Justice Council	http://www.judiciary.gov.uk/about-the-judiciary/advisory-bodies/fjc		0.31		2022-06-23
PB442	Family Procedure Rule Committee	https://gov.uk/government/organisations/family-procedure-rule-committee		0.11		2022-06-23
OT1085	Financial Conduct Authority	https://www.fca.org.uk/		0.18		2022-06-23
OT1260	Financial Reporting Council	https://www.frc.org.uk/		0.76		2022-06-23
EA37	Fire Service College	http://www.fireservicecollege.ac.uk/		2.95		2022-06-23
PB311	Fleet Air Arm Museum 	http://www.fleetairarm.com/		1.07		2022-06-23
PB1335	Flood Forecasting Centre	https://gov.uk/government/organisations/flood-forecasting-centre		0.84		2022-06-23
OT1320	Flood and Coastal Erosion Risk Management Research and Development Programme	https://gov.uk/government/organisations/flood-and-coastal-erosion-risk-management-research-and-development-programme		0.52		2022-06-23
D102	Food Standards Agency	http://www.food.gov.uk/		2.23		2022-06-23
D1315	Foreign, Commonwealth &amp; Development Office	https://gov.uk/government/organisations/foreign-commonwealth-development-office		2.77		2022-06-23
OT536	Forensic Science Regulator	https://gov.uk/government/organisations/forensic-science-regulator		0.58		2022-06-23
EA54	Forest Research	https://www.forestresearch.gov.uk		1.03		2022-06-23
D85	Forestry Commission	https://gov.uk/government/organisations/forestry-commission		0.97		2022-06-23
EA55	Forestry England	https://www.forestryengland.uk		0.46		2022-06-23
OT1273	Further Education Commissioner	https://gov.uk/government/organisations/further-education-commissioner		0.11		2022-06-23
PB169	Gambling Commission	http://www.gamblingcommission.gov.uk/		1.07		2022-06-23
PB1234	Gangmasters and Labour Abuse Authority	http://www.gla.gov.uk/		2.02		2022-06-23
PB170	Geffrye Museum	http://www.geffrye-museum.org.uk/		2.32		2022-06-23
OT1271	Geospatial Commission	https://gov.uk/government/organisations/geospatial-commission		1.33		2022-06-23
OT1307	Gov Facility Services Limited	https://gov.uk/government/organisations/gov-facility-services-limited		0.84		2022-06-23
D103	Government Actuary's Department	https://gov.uk/government/organisations/government-actuarys-department		0.78		2022-06-23
OT1302	Government Analysis Function	https://gov.uk/government/organisations/government-analysis-function		0.59		2022-06-23
OT1061	Government Chemist	https://gov.uk/government/organisations/government-chemist		0.56		2022-06-23
OT1116	Government Commercial Function	https://gov.uk/government/organisations/government-commercial-function		0.43		2022-06-23
OT1034	Government Communication Service	https://gov.uk/government/organisations/civil-service-government-communication-service		0.13		2022-06-23
OT306	Government Communications Headquarters	http://www.gchq.gov.uk/		0.72		2022-06-23
OT1050	Government Corporate Finance Profession	https://gov.uk/government/organisations/civil-service-corporate-finance-profession-cfp		0.11		2022-06-23
OT1317	Government Data Quality Hub	https://gov.uk/government/organisations/government-data-quality-hub		0.48		2022-06-23
OT1056	Government Digital Service	https://gov.uk/government/organisations/government-digital-service		0.65		2022-06-23
OT1037	Government Economic Service	https://gov.uk/government/organisations/civil-service-government-economic-service		0.50		2022-06-23
OT506	Government Equalities Office	https://gov.uk/government/organisations/government-equalities-office		0.77		2022-06-23
OT549	Government Estates Management	https://gov.uk/government/organisations/government-estates-management		0.11		2022-06-23
OT1297	Government Finance Function	https://gov.uk/government/organisations/government-finance-function		0.38		2022-06-23
OT1306	Government Geography Profession	https://gov.uk/government/organisations/government-geography-profession		0.33		2022-06-23
EA1084	Government Internal Audit Agency	https://gov.uk/government/organisations/government-internal-audit-agency		0.67		2022-06-23
OT1048	Government Knowledge &amp; Information Management Profession	https://gov.uk/government/organisations/civil-service-government-knowledge-information-management-profession		0.11		2022-06-23
D1108	Government Legal Department	https://gov.uk/government/organisations/government-legal-department		0.70		2022-06-23
OT1261	Government Legal Profession	https://gov.uk/government/organisations/civil-service-government-legal-profession		0.32		2022-06-23
OT1049	Government Occupational Psychology Profession 	https://gov.uk/government/organisations/civil-service-government-occupational-psychology-profession		0.11		2022-06-23
OT555	Government Office for Science	https://gov.uk/government/organisations/government-office-for-science		0.34		2022-06-23
OT1042	Government Operational Research Service	https://gov.uk/government/organisations/civil-service-government-operational-research-service		0.11		2022-06-23
OT1272	Government Partnerships International	https://gov.uk/government/organisations/government-partnerships-international		0.11		2022-06-23
OT1045	Government Planning Inspectors	https://gov.uk/government/organisations/civil-service-government-planning-inspectors		0.11		2022-06-23
OT1044	Government Planning Profession	https://gov.uk/government/organisations/civil-service-the-government-planning-profession		0.11		2022-06-23
EA1255	Government Property Agency	https://gov.uk/government/organisations/government-property-agency		0.70		2022-06-23
OT1310	Government Property Function	https://gov.uk/government/organisations/government-property-function		0.46		2022-06-23
OT1305	Government Recruitment Service	https://gov.uk/government/organisations/government-recruitment-service		0.24		2022-06-23
OT1040	Government Science &amp; Engineering Profession	https://gov.uk/government/organisations/civil-service-government-science-engineering		0.42		2022-06-23
OT1070	Government Security Profession	https://gov.uk/government/organisations/government-security-profession		0.11		2022-06-23
OT1321	Government Skills and Curriculum Unit	https://gov.uk/government/organisations/government-skills-and-curriculum-unit		0.46		2022-06-23
OT1043	Government Social Research Profession	https://gov.uk/government/organisations/civil-service-government-social-research-profession		0.38		2022-06-23
OT1041	Government Statistical Service	https://gss.civilservice.gov.uk/		0.70		2022-06-23
OT1046	Government Tax Profession	https://gov.uk/government/organisations/civil-service-government-tax-profession		0.11		2022-06-23
OT1047	Government Veterinary Services 	https://gov.uk/government/organisations/civil-service-government-veterinary-services		0.39		2022-06-23
PB426	Great Britain-China Centre	http://www.gbcc.org.uk/		0.19		2022-06-23
OT551	Groceries Code Adjudicator	https://gov.uk/government/organisations/groceries-code-adjudicator		0.37		2022-06-23
EA73	HM Courts &amp; Tribunals Service	https://gov.uk/government/organisations/hm-courts-and-tribunals-service		0.48		2022-06-23
OT347	HM Crown Prosecution Service Inspectorate	http://www.justiceinspectorates.gov.uk/hmcpsi/		0.39		2022-06-23
OT1241	HM Inspectorate of Constabulary and Fire &amp; Rescue Services	https://www.justiceinspectorates.gov.uk/hmicfrs/		0.47		2022-06-23
IM324	HM Inspectorate of Prisons	http://www.justice.gov.uk/about/hmi-prisons		1.04		2022-06-23
IM325	HM Inspectorate of Probation	http://www.justice.gov.uk/about/hmi-probation		2.03		2022-06-23
D69	HM Land Registry	https://gov.uk/government/organisations/land-registry		0.87		2022-06-23
OT1023	HM Nautical Almanac Office	https://gov.uk/government/organisations/hm-nautical-almanac-office		0.15		2022-06-23
EA66	HM Passport Office	https://gov.uk/government/organisations/hm-passport-office		0.39		2022-06-23
EA321	HM Prison Service	https://gov.uk/government/organisations/hm-prison-service		0.69		2022-06-23
D25	HM Revenue &amp; Customs	https://gov.uk/government/organisations/hm-revenue-customs		1.13		2022-06-23
D15	HM Treasury	https://gov.uk/government/organisations/hm-treasury		1.25		2022-06-23
PB1279	HSC Business Services Organisation (Northern Ireland)	http://www.hscbusiness.hscni.net/		0.38		2022-06-23
OT539	Health Education England	http://hee.nhs.uk/		0.74		2022-06-23
OT483	Health Research Authority	http://www.hra.nhs.uk/		1.23		2022-06-23
PB207	Health and Safety Executive	http://www.hse.gov.uk/		1.05		2022-06-23
OT559	Healthcare UK	https://gov.uk/government/organisations/healthcare-uk		0.12		2022-06-23
OT1209	Her Majesty's Government Communications Centre	http://www.hmgcc.gov.uk/		2.72		2022-06-23
EA1213	Her Majesty’s Prison and Probation Service	https://gov.uk/government/organisations/her-majestys-prison-and-probation-service		1.17		2022-06-23
PB460	High Speed Two (HS2) Limited	https://gov.uk/government/organisations/high-speed-two-limited		0.95		2022-06-23
OT1088	Higher Education Statistics Agency	https://www.hesa.ac.uk/		0.89		2022-06-23
PB1164	Historic England	http://www.historicengland.org.uk/		1.33		2022-06-23
PC389	Historic Royal Palaces	https://www.hrp.org.uk/		1.05		2022-06-23
D16	Home Office	https://gov.uk/government/organisations/home-office		1.78		2022-06-23
PB1232	Homes England	https://gov.uk/government/organisations/homes-england		0.78		2022-06-23
PB171	Horniman Public Museum and Public Park Trust	http://www.horniman.ac.uk/		4.11		2022-06-23
PB118	Horserace Betting Levy Board	http://www.hblb.org.uk/		0.36		2022-06-23
IM341	House of Lords Appointments Commission	http://lordsappointments.independent.gov.uk/		1.08		2022-06-23
PB372	Housing Ombudsman	http://www.housing-ombudsman.org.uk/		0.88		2022-06-23
PB253	Human Fertilisation and Embryology Authority	http://www.hfea.gov.uk/		0.32		2022-06-23
PB254	Human Tissue Authority	http://www.hta.gov.uk/		0.64		2022-06-23
OT1069	Immigration Enforcement	https://gov.uk/government/organisations/immigration-enforcement		0.21		2022-06-23
PB172	Imperial War Museum	http://www.iwm.org.uk/		1.40		2022-06-23
PB443	Independent Advisory Panel on Deaths in Custody	http://www.iapondeathsincustody.org/		1.36		2022-06-23
PB210	Independent Agricultural Appeals Panel	https://gov.uk/government/organisations/independent-agricultural-appeals-panel		0.11		2022-06-23
IM1123	Independent Anti-slavery Commissioner	http://www.antislaverycommissioner.co.uk/		1.95		2022-06-23
OT579	Independent Case Examiner	https://gov.uk/government/organisations/independent-case-examiner		0.36		2022-06-23
OT284	Independent Chief Inspector of Borders and Immigration 	https://gov.uk/government/organisations/independent-chief-inspector-of-borders-and-immigration		0.54		2022-06-23
IM335	Independent Commission for Aid Impact	http://icai.independent.gov.uk/		1.82		2022-06-23
PB1274	Independent Commission on Civil Aviation Noise	https://iccan.gov.uk/		1.73		2022-03-29
PB1149	Independent Commission on Freedom of Information	https://gov.uk/government/organisations/independent-commission-on-freedom-of-information		0.39		2022-06-23
OT1099	Independent Complaints Reviewer	http://www.icrev.org.uk/		0.14		2022-06-23
PB1185	Independent Dormant Assets Commission 	https://gov.uk/government/organisations/dormant-assets-commission		0.27		2022-06-23
OT1122	Independent Family Returns Panel	https://gov.uk/government/organisations/independent-family-returns-panel		0.11		2022-06-23
PB1017	Independent Medical Expert Group	https://gov.uk/government/organisations/independent-medical-expert-group		0.11		2022-06-23
PB1318	Independent Monitoring Authority for the Citizens’ Rights Agreements	https://ima-citizensrights.org.uk/		2.65		2022-06-23
OT444	Independent Monitoring Boards	http://www.imb.org.uk/		0.14		2022-06-23
PB1248	Independent Office for Police Conduct	https://policeconduct.gov.uk/		1.30		2022-06-23
PB1219	Independent Parliamentary Standards Authority 	http://www.theipsa.org.uk/		0.95		2022-06-23
PB527	Independent Reconfiguration Panel	https://gov.uk/government/organisations/independent-reconfiguration-panel		0.19		2022-06-23
PB1258	Independent Review Mechanism	https://gov.uk/government/organisations/independent-review-mechanism		0.11		2022-06-23
OT511	Independent Reviewer of Terrorism Legislation	https://terrorismlegislationreviewer.independent.gov.uk		0.56		2022-06-23
OT152	Industrial Development Advisory Board	https://gov.uk/government/organisations/industrial-development-advisory-board		0.11		2022-06-23
